類目代碼,類目名稱,說明,是否隱藏
6000000000,地區,,否
6001000000,台灣地區,無,否
6001001000,台北市,無,否
6001001001,台北市中正區,無,否
6001001002,台北市大同區,,否
6001001003,台北市中山區,,否
6001001004,台北市松山區,,否
6001001005,台北市大安區,,否
6001001006,台北市萬華區,,否
6001001007,台北市信義區,,否
6001001008,台北市士林區,,否
6001001009,台北市北投區,,否
6001001010,台北市內湖區,,否
6001001011,台北市南港區,,否
6001001012,台北市文山區,,否
6001002000,新北市,,否
6001002001,新北市萬里區,,否
6001002002,新北市金山區,,否
6001002003,新北市板橋區,,否
6001002004,新北市汐止區,,否
6001002005,新北市深坑區,,否
6001002006,新北市石碇區,,否
6001002007,新北市瑞芳區,,否
6001002008,新北市平溪區,,否
6001002009,新北市雙溪區,,否
6001002010,新北市貢寮區,,否
6001002011,新北市新店區,,否
6001002012,新北市坪林區,,否
6001002013,新北市烏來區,,否
6001002014,新北市永和區,,否
6001002015,新北市中和區,,否
6001002016,新北市土城區,,否
6001002017,新北市三峽區,,否
6001002018,新北市樹林區,,否
6001002019,新北市鶯歌區,,否
6001002020,新北市三重區,,否
6001002021,新北市新莊區,,否
6001002022,新北市泰山區,,否
6001002023,新北市林口區,,否
6001002024,新北市蘆洲區,,否
6001002025,新北市五股區,,否
6001002026,新北市八里區,,否
6001002027,新北市淡水區,,否
6001002028,新北市三芝區,,否
6001002029,新北市石門區,,否
6001003000,宜蘭縣,,否
6001003001,宜蘭縣宜蘭市,,否
6001003002,宜蘭縣頭城鎮,,否
6001003003,宜蘭縣礁溪鄉,,否
6001003004,宜蘭縣壯圍鄉,,否
6001003005,宜蘭縣員山鄉,,否
6001003006,宜蘭縣羅東鎮,,否
6001003007,宜蘭縣三星鄉,,否
6001003008,宜蘭縣大同鄉,,否
6001003009,宜蘭縣五結鄉,,否
6001003010,宜蘭縣冬山鄉,,否
6001003011,宜蘭縣蘇澳鎮,,否
6001003012,宜蘭縣南澳鄉,,否
6001004000,基隆市,,否
6001004001,基隆市仁愛區,,否
6001004002,基隆市信義區,,否
6001004003,基隆市中正區,,否
6001004004,基隆市中山區,,否
6001004005,基隆市安樂區,,否
6001004006,基隆市暖暖區,,否
6001004007,基隆市七堵區,,否
6001005000,桃園市,,否
6001005001,桃園市中壢區,,否
6001005002,桃園市平鎮區,,否
6001005003,桃園市龍潭區,,否
6001005004,桃園市楊梅區,,否
6001005005,桃園市新屋區,,否
6001005006,桃園市觀音區,,否
6001005007,桃園市桃園區,,否
6001005008,桃園市龜山區,,否
6001005009,桃園市八德區,,否
6001005010,桃園市大溪區,,否
